id,key,value,type
302883,ref,19A,regular
302883,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf,regular
302883,exit_to,I-280,regular
302883,highway,motorway_junction,regular
26027656,highway,traffic_signals,regular
26027659,source,Yahoo,regular
26027659,highway,traffic_signals,regular
26027671,source,Yahoo,regular
26027671,highway,traffic_signals,regular
26027688,highway,traffic_signals,regular
26027690,highway,traffic_signals,regular
26028045,ref,23,regular
26028045,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf,regular
26028045,exit_to,Central Expressway,regular
26028045,highway,motorway_junction,regular
26028102,ref,396B,regular
26028102,exit_to,Mathilda Avenue South,regular
26028102,highway,motorway_junction,regular
26028109,ref,399A,regular
26028109,exit_to,Shoreline Boulevard,regular
26028109,highway,motorway_junction,regular
26028114,ref,400B,regular
26028114,exit_to,Rengstorff Avenue,regular
26028114,highway,motorway_junction,regular
26028714,highway,traffic_signals,regular
26028723,exit_to,Arques / Fair Oaks,regular
26028749,highway,traffic_signals,regular
26029008,highway,traffic_signals,regular
26029038,highway,traffic_signals,regular
26029629,highway,traffic_signals,regular
26029630,highway,traffic_signals,regular
26029664,ref,22B,regular
26029664,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf,regular
26029664,exit_to,SR-82 North;Mountain View;El Camino Real,regular
26029664,highway,motorway_junction,regular
26029760,highway,traffic_signals,regular
26029773,source,Yahoo,regular
26029773,highway,traffic_signals,regular
26029776,highway,traffic_signals,regular
26031411,highway,traffic_signals,regular
26031433,ref,394,regular
26031433,exit_to,Lawrence Expressway,regular
26031433,highway,motorway_junction,regular
26031465,highway,traffic_signals,regular
26031466,highway,traffic_signals,regular
26050456,highway,traffic_signals,regular
26117819,highway,traffic_signals,regular
26117819,traffic_signals,signal,regular
26117820,ref,3A,regular
26117820,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtyseveneast.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtysevenwest.pdf,regular
26117820,exit_to,US-101 North,regular
26117820,highway,motorway_junction,regular
26117833,highway,traffic_signals,regular
26117833,highway,survey,source
26149279,created_by,JOSM,regular
26149287,created_by,JOSM,regular
26240871,noref,yes,regular
26240871,exit_to,Mathilda Avenue South,regular
26240871,highway,motorway_junction,regular
26240920,source,Bing,regular
26240920,highway,traffic_signals,regular
26374433,created_by,JOSM,regular
26403564,ele,31 ft,regular
26403564,ref,32R,regular
26506786,highway,traffic_signals,regular
26506813,ref,12B,regular
26506813,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightynorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightysouth.pdf,regular
26506813,exit_to,SR-85 South;Gilroy,regular
26506813,highway,motorway_junction,regular
26506854,created_by,JOSM,regular
26511895,highway,traffic_signals,regular
26581088,highway,traffic_signals,regular
26639069,highway,traffic_signals,regular
26639070,highway,traffic_signals,regular
29381109,barrier,gate,regular
29382247,barrier,gate,regular
29524017,barrier,gate,regular
30181366,amenity,bus_station,regular
30236408,highway,traffic_signals,regular
30236412,highway,traffic_signals,regular
30236421,highway,crossing,regular
30236421,crossing,zebra,regular
30236493,name,San Antonio,regular
30236493,network,Caltrain,regular
30236493,railway,station,regular
30236493,wikipedia,en:San Antonio (Caltrain station),regular
